total_reward,episode_cost,episode_co2,episode_unserved,episode_ramp
-950.4220343598356,325.61290879068093,1018.5950285152674,1.4210854715202004e-14,455.0702819998051
-894.4654395245345,304.54584897837196,950.4657536587019,0.0,654.6712783647149
-1021.0849188413387,347.6533104104029,1094.1737901278095,0.0,564.2444784750004
-958.9564607489957,323.9797339730977,1016.9330179118816,7.105427357601002e-15,827.2305342923005
-968.1116775907747,331.3764279799922,1034.3528898010568,1.4210854715202004e-14,537.4505243382778
-982.1903204685575,335.36414343097465,1054.0334130035387,0.0,480.20430784865323
-1008.7865635520438,342.1511313990007,1075.362379723259,1.4210854715202004e-14,713.9334773029256
-946.9366734268967,322.13082918429313,1005.2956842746534,0.0,720.9477892603844
-940.2393531340874,321.4735478124803,1003.5525044833926,0.0,554.4767543857207
-991.7516128540724,337.5246477366571,1061.025738828792,0.0,587.0507273379997
-1076.3478614212981,365.1807063429671,1146.6620534646638,1.4210854715202004e-14,772.3307666511
-1055.854106448593,361.3011554576585,1131.0807688497953,0.0,530.149656035239
-1002.0452398062721,338.68815827911715,1066.5762221197672,7.105427357601002e-15,780.3782751764851
-1054.7521838197194,360.73044267364133,1135.279740399043,0.0,428.4632302217419
-857.834058579268,295.72606492099015,912.6717824542156,7.105427357601002e-15,483.497472858284
-945.1061603772246,322.2225407175394,1004.9895887080951,0.0,662.9955478276041
-974.9299237113989,333.168986944321,1040.2345027783838,2.842170943040401e-14,587.3411700015928
-890.4847137900263,303.79921219379924,952.1958059547165,1.4210854715202004e-14,512.2672674465696
-1092.3878351338753,371.963262857487,1171.7035532604516,0.0,580.0813440039185
-1062.269821804836,362.0157849960791,1141.384330800735,7.105427357601002e-15,514.1146109438648
-866.8548314777762,297.1596271583598,924.7413116051879,1.4210854715202004e-14,495.01391187679167
-1022.9854004425208,350.19041642263716,1093.6469481543013,1.4210854715202004e-14,553.5605042434308
-941.2845294807747,319.28854753136875,998.999597044198,0.0,753.2074574295694
-1029.6926339216272,353.2251885198923,1103.1935456633548,0.0,485.04393345739675
-985.9921439700911,336.397620551497,1054.8799035161942,1.4210854715202004e-14,555.5527102959154
-996.3215801859898,339.72195701799615,1059.5922831748458,0.0,694.8084421028715
-1123.9497669047978,382.2937646491156,1203.902182974423,7.105427357601002e-15,643.8230823676164
-908.2092620184899,311.0488877822987,966.5591014775827,0.0,574.1637783213869
-989.0383478030735,336.6002058364473,1054.9795633284482,1.4210854715202004e-14,648.346798985242
-877.8520151999109,299.9343898956128,935.6109468579009,0.0,551.7019063185866
-1012.4970927256045,345.58810772272943,1082.836720618064,1.4210854715202004e-14,573.5650877345552
-920.8855306982834,314.59898412826544,977.4146531221841,1.4210854715202004e-14,661.2584898902492
-1095.7307107898569,373.26470178495504,1174.9695389699339,2.842170943040401e-14,582.8095207647169
-934.458266232014,318.5440432970279,1000.2290850719875,0.0,525.8923963931211
-974.9036575861173,331.4365497279189,1039.2959111882512,1.4210854715202004e-14,662.9853715082473
-1033.7490897574999,350.6808027601613,1102.1181937913527,0.0,726.5790240842329
-1014.0351038834528,345.2360138150457,1079.4007873741205,7.105427357601002e-15,705.2872547978295
-1024.5994663948459,349.20843979499836,1091.1548414906983,1.4210854715202004e-14,689.9373901809442
-967.4052391812443,331.85074660368036,1032.647978544198,0.0,532.1901817015103
-962.4119763862884,325.1429915972424,1024.504873038255,7.105427357601002e-15,752.2020322031025
-1011.8150985187135,346.9121804669104,1082.1366475401126,0.0,520.6976509245203
-1048.9092227713531,357.94611583518827,1121.832127363012,0.0,595.4610172785971
-986.4029871033106,336.7050243969879,1055.6542014757092,0.0,543.5147273632439
-918.8049595818962,313.7793142408155,979.8545271619557,0.0,570.4309681302462
-975.6440877947629,331.46488945585884,1037.6675881723852,1.4210854715202004e-14,719.2881811824336
-1066.8684918271792,361.8057315534621,1140.3042316411306,0.0,696.0073763012977
-918.5445415646734,315.31981718677883,980.455335630204,0.0,498.3840999924101
-969.3548973424513,332.2610813603406,1034.504800143829,0.0,546.364529860446
-873.0594620358395,300.2579340416618,934.731749147714,7.105427357601002e-15,398.7492835183149
-1004.21317488304,340.4831698709738,1071.8066548523188,0.0,688.2004033558354
